Median Income (Averaged from 2016-2018)
32979.33333
35673.66667
40896.66667
50766
49217.66667
30103.66667
32458.66667
28218.66667
41317.66667
36936.33333
44621.33333
37326.33333
63774.66667
32802
47197.33333
56318
33383.66667
47178.66667
41961
37925.66667
49800.66667
40930.33333
38120
42484.33333
38266.66667
71923.66667
35826.66667
58776
39883
70375
36662
34481
57380.33333
54127.33333
33268.66667
35899.33333
85007
38914
32544.33333
44157.66667
43134.33333
39125
33837.66667
36979.33333
38418.33333
59129
44562
38339
31684
31882.66667
40891.33333
31490.66667
39622.66667
72135
43633
43419.33333
35782.33333
32119
63951.66667
38400
38541.33333
38389
40539.33333
33229
43604.33333
45122.33333
39813
37654
64916
49328
33241.33333
47991.66667
44985.66667
32955
36885
32069.33333
36987.66667
45551
57323.33333
47726.33333
40901.33333
36146.66667
44256
91270
42727.66667
45926.33333
39425.33333
41749
48104
35331
36989.33333
39246.66667
33569
37043
45382.66667
43681
35245.33333
35965
44923.33333
32351.33333
28624.66667
46802.66667
31005.66667
32856
38969.33333
45450.66667
46737.33333
42720.66667
42700.66667
49235
40543
34981.33333
36513
39891
32293.33333
41792.33333
31000.66667
36817.33333
39075.66667
44164
31930
36874
59131
49270.66667
31940
42075.66667
34815.66667
58711
36921.33333
32032
39619
33280.66667
30607.33333
53038.33333
71185
32323
35564
46912.66667
35563.33333
43341
33385.33333
48038
45534
34923
37088.66667
35002.66667
37496.33333
29960.66667
59487
35746.33333
41916.33333
40452.33333
45967
39387.33333
48037.33333
37769.33333
40357.66667
54208
41119.66667
46676
46338.33333
31746
43767.33333
45814
35732.33333
40625
36050.66667
44712.66667
"40,675.00"
27397.66667
58450.33333
28484
41829
39542.33333
39949.33333
30171.33333
36165
28310
51930
32902.33333
27428
85193
40659.33333
51061.66667
42463
29193.33333
34972.33333
45053.66667
32647.66667
46240.66667
41662
82193
38704.33333
39781.33333
47740
54411
42543
30055.66667
45699.66667
33573.66667
42267.33333
44076.66667
29378
40108
35891.33333
28715.33333
35892
53187.33333
71470.33333
34815
42660
36608.33333
33498.66667
106519.6667
29850
54530
38644.33333
44540
49776
35331.33333
32317.33333
25241.66667
33632.66667
41364.33333
43251.33333
42383.33333
36589.33333
31590
35914.33333
35670
39731.66667
46265
34597
45441
71319.66667
46976.66667
45989.66667
46083
54313.33333
31811.33333
55591.33333
40536.66667
42582.33333
48658.66667
52842.33333
69189
35145
40577.33333
43002.66667
38782.33333
58137.66667
45033
35884.33333
37667.33333
50657.66667
36643
35240.66667
32632.33333
39437.66667
37892.66667
38096
35685.33333
26730
30364.33333
46117.66667
37367
32571.66667
33433
47569
43529.66667
43572.66667
32866.66667
51825
75168.33333
129795
38340.33333
35806
39738.66667
44790.66667
33555.66667
33359
42707.66667
63327.66667
48213.33333
33436.66667
45274
41835.66667
50651
52122
35752
51247.66667
37214.66667
50525.66667
57728
43289.33333
41554.33333
31765.33333
50768.66667
33429.66667
44505.33333
38435.33333
34106
29514
70154.33333
54556
46110
51775.33333
22203.66667
43256
39657
31132.66667
27631.33333
46382.33333
42145
34499.33333
33790.33333
62037.66667
56960.66667
40885.33333
59770.33333
44936.66667
41268
48893.33333
34894.66667
47805.33333
44460.66667
33382.33333
34718
45280.66667
45353.33333
56065.66667
43004.66667
38506.66667
36931
32774
43765
40558
37364
46216
33149
47591
46578
33987
32729
35757
33812.66667
32411.66667
40125
35871.66667
33287
25944.33333
24117.33333
40082.66667
47814.66667
38959.33333
32055.66667
36964.66667
36877.33333
28457.33333
37788
37271.33333
34612
48872
60292.33333
37140.33333
41265.66667
34894
37047.33333
52039.66667
44058.33333
46969.33333
46041.33333
27735.33333
37584
46892
46719
32794.33333
49725.33333
36501.66667
43331
29774
34933.33333
31452
44376.33333
58282.66667
45596.33333
48424.33333
36406.66667
54128
38102
42722.33333
41327.33333
44533
40570.33333
32641.33333
37022.33333
42823
42100
51504.33333
36408.66667
60720.33333
36182.66667
44885
56504.33333
37799.33333
34934
34824.33333
43766.33333
48145.33333
29883.33333
31307.66667
47409.66667
41174.66667
33254
47802.66667
68684.66667
45588
30360
40595
37449.66667
45476.33333
43194
45613
45764
51312
54792.66667
35611.66667
43957
46593
34517
33016.66667
43469.33333
34107
30897.66667
38568.33333
61970
40755.66667
45928.33333
51015
30716.33333
51528.33333
44301
51501.33333
44585.66667
32970.66667
52350.66667
43769.66667
39542.66667
41535
55227
43823.66667
41333.66667
58546
50118
40241.33333
34790
58933
24295
44742.33333
48399
45307.66667
60520.66667
30750.33333
29773.33333
39140
39534
38291
42160
38316.66667
52432
42578.66667
40431
34061
49344.66667
59993
37597.33333
31163
31128.33333
31805.66667
33770.66667
47448.33333
48829.66667
50104.66667
78743.33333
32647
32680.66667
29609.33333
52022.33333
54376
43603
47805
56115.33333
33362.66667
35420
28921.33333
33472.66667
32906.33333
47305
44141.33333
46901
59035.33333
37186.33333
32373.66667
30858.66667
33917.66667
38839.66667
39931.33333
36992
39007.66667
41635.33333
27394.66667
58906.66667
36796.66667
55954.33333
33753
30377.66667
34144.66667
44252.66667
33085.66667
32007.33333
39820.33333
34787.33333
38440
40317.66667
42411
59398.33333
38893
34779.66667
45250
39282.33333
45370.33333
50960.33333
39020.33333
35191.33333
32708.33333
41044
35453
64352
43224.33333
32232
32900.33333
41675.33333
30076
37811
37125.33333
48512.33333
41004
29605.66667
41792.33333
37562.66667
46965.33333
45061
32917.66667
38017
30101
41585.66667
29478.33333
27260
47838.33333
58495
42557.33333
33839
41878
34909.66667
36735.33333
51183.66667
38404.33333
36184.33333
43391.66667
36614.66667
45928.33333
37107.33333
42626.66667
30350
44883.66667
41614.33333
42789.66667
43742
38138.66667
36670.66667
33356
32003.66667
54392.66667
39031.33333
37999.33333
30953.66667
46356.66667
46922.66667
41582.66667
30949
37583.33333
52192.66667
40073
37246.66667
45916.66667
38672
39245
41190
39066
34316.33333
87812.33333
63686
34295.66667
44808.66667
31473
36674.33333
33713.33333
47994
53766.33333
42427.66667
40542.33333
47795
49036
36585.66667
31414.66667
46577.33333
56408
43063
40022
39898.66667
47893
19597.33333
31546.33333
31410.33333
35002.33333
77291.66667
50947
36948
31114.33333
59404
52884.33333
50248.66667
37559.66667
41526
41970.33333
30142.66667
