State,County,Population
Nebraska,Boone,5239
West Virginia,Boone,21951
Texas,Borden,648
Texas,Bosque,18691
Louisiana,Bossier,127185
Virginia,Botetourt,33277
North Dakota,Bottineau,6411
Colorado,Boulder,326078
Idaho,Boundary,11948
Kansas,Bourbon,14653
Kentucky,Bourbon,20184
Texas,Bowie,94324
North Dakota,Bowman,3076
Nebraska,Box Butte,10772
Utah,Box Elder,54950
Kentucky,Boyd,47240
Nebraska,Boyd,1955
Kentucky,Boyle,30100
Kentucky,Bracken,8239
Florida,Bradford,27732
Pennsylvania,Bradford,60833
Arkansas,Bradley,10897
Tennessee,Bradley,106727
Michigan,Branch,43622
Georgia,Brantley,18897
West Virginia,Braxton,14089
Texas,Brazoria,370200
Texas,Brazos,226758
Kentucky,Breathitt,12726
Kentucky,Breckinridge,20388
Iowa,Bremer,24947
Florida,Brevard,596849
Texas,Brewster,9267
Texas,Briscoe,1516
Alaska,Bristol Bay,877
Virginia,Bristol,16482
Massachusetts,Bristol,564022
Rhode Island,Bristol,48649
Montana,Broadwater,6085
New York,Bronx,1432132
West Virginia,Brooke,22203
South Dakota,Brookings,35232
Georgia,Brooks,15513
Texas,Brooks,7114
New York,Broome,191659
Colorado,Broomfield,69267
Florida,Broward,1951260
Illinois,Brown,6556
Indiana,Brown,15234
Kansas,Brown,9598
Minnesota,Brown,25111
Nebraska,Brown,2973
Ohio,Brown,43602
South Dakota,Brown,39316
Texas,Brown,37924
Wisconsin,Brown,263378
South Dakota,Brule,5229
North Carolina,Brunswick,136744
Virginia,Brunswick,16384
Georgia,Bryan,38109
Oklahoma,Bryan,47192
Iowa,Buchanan,21199
Missouri,Buchanan,88571
Virginia,Buchanan,21221
Virginia,Buckingham,16999
Pennsylvania,Bucks,628195
Virginia,Buena Vista,6237
Iowa,Buena Vista,19874
Nebraska,Buffalo,49615
South Dakota,Buffalo,2036
Wisconsin,Buffalo,13125
Kentucky,Bullitt,81069
Georgia,Bulloch,77296
Alabama,Bullock,10138
North Carolina,Buncombe,259103
Illinois,Bureau,32993
Georgia,Burke,22423
North Carolina,Burke,90382
North Dakota,Burke,2100
North Dakota,Burleigh,95273
Texas,Burleson,18389
New Jersey,Burlington,445384
Texas,Burnet,47542
Wisconsin,Burnett,15392
Nebraska,Burt,6488
Alabama,Butler,19680
Iowa,Butler,14539
Kansas,Butler,66765
Kentucky,Butler,12772
Missouri,Butler,42639
Nebraska,Butler,8058
Ohio,Butler,382378
Pennsylvania,Butler,187888
California,Butte,231256
Idaho,Butte,2611
South Dakota,Butte,10222
Georgia,Butts,24193
North Carolina,Cabarrus,211342
West Virginia,Cabell,93224
Utah,Cache,127068
Oklahoma,Caddo,28977
Louisiana,Caddo,242922
California,Calaveras,45602
Louisiana,Calcasieu,203112
Kentucky,Caldwell,12715
Missouri,Caldwell,9108
North Carolina,Caldwell,82029
Texas,Caldwell,43247
Louisiana,Caldwell,9960
Vermont,Caledonia,30302
Alabama,Calhoun,114277
Arkansas,Calhoun,5277
Florida,Calhoun,14587
Georgia,Calhoun,6352
Illinois,Calhoun,4802
Iowa,Calhoun,9699
Michigan,Calhoun,134487
Mississippi,Calhoun,14436
South Carolina,Calhoun,14520
Texas,Calhoun,21561
West Virginia,Calhoun,7254
Texas,Callahan,13994
Missouri,Callaway,44889
Kentucky,Calloway,39135
Wisconsin,Calumet,50159
Maryland,Calvert,92003
Idaho,Camas,1127
Pennsylvania,Cambria,131730
Georgia,Camden,53677
Missouri,Camden,45815
New Jersey,Camden,507078
North Carolina,Camden,10710
Pennsylvania,Cameron,4492
Texas,Cameron,423908
Louisiana,Cameron,6968
Texas,Camp,13033
Kentucky,Campbell,93152
South Dakota,Campbell,1377
Tennessee,Campbell,39583
Virginia,Campbell,54973
Wyoming,Campbell,46140
Oklahoma,Canadian,144447
Georgia,Candler,10836
