White %,Black %,Native American %,Asian %,Hawaiian/Pacific %,Hispanic %
0.7837988525,0.1963094189,0.004802071905,0.01224798115,0.001115087858,0.02965773997
0.8895982974,0.08940382163,0.007723991157,0.01150342626,0.0006696571906,0.04646778765
0.5003416261,0.4839837627,0.006591374945,0.004541618102,0.001848800289,0.04276355452
0.778125,0.2129464286,0.004375,0.002366071429,0.001160714286,0.02625
0.9718360996,0.01642461964,0.00653526971,0.003198478562,0.001210235131,0.09571230982
0.2735253502,0.7070428092,0.008384296705,0.001874136911,0.007496547643,0.07960149931
0.5325711382,0.4491361789,0.003760162602,0.01316056911,0.0005081300813,0.01509146341
0.7708637784,0.2113548658,0.005399161686,0.009643235297,0.001102584072,0.03910673189
0.58226982,0.4,0.003064108285,0.01326788636,0.0004462293619,0.02561356537
0.9461047941,0.04260141364,0.006607252612,0.003380454825,0.000307314075,0.01621081746
0.8830883519,0.1037075623,0.005662129414,0.004869431296,0.001743935859,0.07926981179
0.5784596215,0.4170235963,0.001869013317,0.001791137762,0,0.01043532435
0.5430602007,0.4462374582,0.005267558528,0.004347826087,0.0002090301003,0.01362876254
0.8503954802,0.1407156309,0.005423728814,0.002410546139,0,0.03013182674
0.9619670381,0.0294255021,0.004937612598,0.002201908321,0.0007339694402,0.02482151198
0.7855863145,0.1770791192,0.01410160088,0.01635554528,0.003968483307,0.07580573696
0.8235820459,0.1620649355,0.006628684124,0.005898250612,0.0007486943501,0.02675212739
0.528630773,0.4626537428,0.005131546795,0.002117781217,0.0003258124949,0.02150362466
0.6810079328,0.308819412,0.005972935138,0.001399906673,0.001679888007,0.02519832011
0.861731466,0.1261017682,0.006921537879,0.004650408263,0.0001081490294,0.0174931055
0.7464554398,0.2346643519,0.006293402778,0.01121238426,0.0004340277778,0.02314814815
0.9718007718,0.01337455957,0.006459576712,0.006723232904,0.0008628748112,0.04433019343
0.7630729635,0.2096167988,0.00800719013,0.01419642128,0.002124356565,0.06638614266
0.2853824067,0.7046202036,0.002897415818,0.005820934482,0.0004437483686,0.01111981206
0.9482244169,0.01856132241,0.02029838201,0.005155144638,0.006401905162,0.1484205365
0.7704519643,0.2145639723,0.005190079011,0.007095143307,0.001160135308,0.03012688217
0.6389191249,0.3167247197,0.03872319582,0.003047784913,0.0006258844019,0.02468161533
0.8245090292,0.1570131023,0.006087745485,0.008312114028,0.003102408757,0.0401557058
0.8702002069,0.1198807278,0.004685693422,0.004381427615,0,0.01807338891
0.9321174633,0.0454994739,0.01546408188,0.003411663425,0.002487006983,0.1775021522
